,text,text-corrected,id.x,inTrain,username,date,retweets,favorites,geo,mentions,hashtags,id.y,permalink,X
11,. @optoutftl @TeaPartyBroward has joined you in #optout #fsatesting #stopcommoncore https://www.facebook.com/groups/OptOutBroward/ÔøΩ__ÔøΩ_,. @optoutftl @TeaPartyBroward has joined you in #optout #fsatesting #stopcommoncore https://www.facebook.com/groups/OptOutBroward/ …,65,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,". @palan57 So I suppose Cage Buster"" Hess is a strong supporter of teachers who have the guts to #OptOut of #CommonCore tests?""",,123,1,fredbartels,3/31/15,0,0,,@palan57,#OptOut #CommonCore,5.83E+17,https://twitter.com/fredbartels/status/583044885122564096,
13,. @Pearson #PARCC #Pearsoniswatching More reasons parents should opt out http://go.shr.lc/18UkHpgÔøΩ_ . @Parents4Privacy . @leoniehaimson . @Newsday,. @Pearson #PARCC #Pearsoniswatching More reasons parents should opt out http://go.shr.lc/18UkHpg  . @Parents4Privacy . @leoniehaimson . @Newsday,100197,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,. @PFahy109 says if things don_ÔøΩÔøΩt improve she_ÔøΩÔøΩll _ÔøΩÔøΩlead the charge_—ù to opt out of Common Core testing.,. @PFahy109 says if things don’t improve she’ll “lead the charge” to opt out of Common Core testing.,26,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,. @UnitedOptOut Standardized testing stifles creativity sucks up instruct. time & provides bad data #optout @BobPMilwpic.twitter.com/0FYTH5eyiQ,,100061,1,MTEAunion,3/24/15,2,2,,@UnitedOptOut @BobPMilwpic,#optout,5.80E+17,https://twitter.com/MTEAunion/status/580418072009404416,
16,@15Warrenton Fantastic! No punitive sit and stare! #optout #morethanascore #whyIrefuse,,100093,1,meanwhilefl,3/23/15,2,2,,@15Warrenton,#optout #morethanascore #whyIrefuse,5.80E+17,https://twitter.com/meanwhilefl/status/580012316848197632,
17,@333sparkle #PARCC #EvilProfiteersPearson #SBAC #pearsonisbigbrother #Pearson because I can and we won't comply #refusePARCC,,100210,1,333sparkle,3/17/15,0,0,,@333sparkle,#PARCC #EvilProfiteersPearson #SBAC #pearsonisbigbrother #Pearson #refusePARCC,5.78E+17,https://twitter.com/333sparkle/status/577727779233406976,
18,@AchieveInc @CCSSO That would be great 11 1/2 hrs of PARCC/NJASK testing for my 9 year old is too much. 1 reason we refused #PARCC.,,100070,1,HeatherVieiro,3/24/15,0,0,,@AchieveInc @CCSSO,#PARCC,5.80E+17,https://twitter.com/HeatherVieiro/status/580327587169345536,
19,@aclu_broward #optout join us in #optout #fsatesting https://www.facebook.com/groups/OptOutBroward/ÔøΩ__ÔøΩ_,@aclu_broward #optout join us in #optout #fsatesting https://www.facebook.com/groups/OptOutBroward/ …,91,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,@akosnitzky @_QueenLioness_ join us https://www.facebook.com/groups/OptOutBroward/?pnref=storyÔøΩ__ÔøΩ_ #whyirefuse #optout #CCSS,@akosnitzky @_QueenLioness_ join us https://www.facebook.com/groups/OptOutBroward/?pnref=story … #whyirefuse #optout #CCSS,106,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,@akosnitzky @_QueenLioness_ join us https://www.facebook.com/groups/OptOutBroward/?pnref=storyÔøΩ__ÔøΩ_ #whyirefuse #optout #CCSS,@akosnitzky @_QueenLioness_ join us https://www.facebook.com/groups/OptOutBroward/?pnref=story … #whyirefuse #optout #CCSS,107,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,@BadassTeachersA BREAKING NEWS: @AFTunion Prez @rweingarten Endorses #OptOut one day after @nysut says REFUSE TESTS http://wp.me/p2odLa-9ZJ,,57,1,NYBATs,3/31/15,6,2,,@BadassTeachersA @AFTunion @rweingarten @nysut,#OptOut,5.83E+17,https://twitter.com/NYBATs/status/583068281755463680,
23,@BadassTeachersA Opting out is not anti-test - it's PRO - EDUCATION! ^0^ Testing is not LEARNing #TBATspic.twitter.com/rkfn3joAKf,,100072,1,pbsanstead,3/24/15,12,6,,@BadassTeachersA,#TBATspic,5.80E+17,https://twitter.com/pbsanstead/status/580263465807298560,
24,"@BarackObama still places far too much emphasis on relentless testing with standardized exams."" ~J. Kozol #pearsoniswatching""","@BarackObama still places far too much emphasis on relentless testing with standardized exams."" ~J. Kozol #pearsoniswatching""",100216,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,@BrowardLibrary join us in #optout #fsatesting #stopcommoncore https://www.facebook.com/groups/OptOutBroward/ÔøΩ__ÔøΩ_,@BrowardLibrary join us in #optout #fsatesting #stopcommoncore https://www.facebook.com/groups/OptOutBroward/ …,82,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,@browardpolitics @AttorneyCrump #optout join us in #optout #fsatesting https://www.facebook.com/groups/OptOutBroward/ÔøΩ__ÔøΩ_,@browardpolitics @AttorneyCrump #optout join us in #optout #fsatesting https://www.facebook.com/groups/OptOutBroward/ …,89,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,@BSPARCCAnwsers a high stakes test designed to engineer school failure is not comparable to any other test. Opt Out. @esanzi @fnoschese,,100102,1,audhilly,3/22/15,1,1,,@BSPARCCAnwsers @esanzi @fnoschese,,5.80E+17,https://twitter.com/audhilly/status/579854975569776640,
28,@BWCentral join us https://www.facebook.com/groups/OptOutBroward/?pnref=storyÔøΩ__ÔøΩ_ #whyirefuse #optout #CCSS,@BWCentral join us https://www.facebook.com/groups/OptOutBroward/?pnref=story … #whyirefuse #optout #CCSS,108,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,@C_Derrenbacher @nysut no district has lost money due to #optout. Many below 95% for two yrs,,17,1,ChrisCerrone15,3/31/15,2,0,,@C_Derrenbacher @nysut,#optout,5.83E+17,https://twitter.com/ChrisCerrone15/status/583106917825949696,
30,@CanibeYOUNG @Stoptesting15 That's why we all need to #OptOut,,18,1,RaymondWWalter,3/31/15,0,1,,@CanibeYOUNG @Stoptesting15,#OptOut,5.83E+17,https://twitter.com/RaymondWWalter/status/583106905985261568,
31,@CBSTampaBay join us https://www.facebook.com/groups/OptOutBroward/?pnref=storyÔøΩ__ÔøΩ_ #whyirefuse #optout #ccss,@CBSTampaBay join us https://www.facebook.com/groups/OptOutBroward/?pnref=story … #whyirefuse #optout #ccss,112,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,@cherkies @michellemalkin not surprised. In ky we're bing told we can't opt out of testing! What! They are our kids our choice!,,100079,1,lbarrasmith,3/23/15,0,0,,@cherkies @michellemalkin,,5.80E+17,https://twitter.com/lbarrasmith/status/580108708140728320,
33,"@cjacksonj13 Ha Ha I sometimes get frustrated for teachers with the whole opt of the test"" thing. Teachers live in the real world #PBLChat""",,70,1,newtechnetwork,3/31/15,0,1,,@cjacksonj13,#PBLChat,5.83E+17,https://twitter.com/newtechnetwork/status/583061149530370048,
34,@CMZR yep when writing clear and concisely is valued everywhere except #PARCC yet they can predict future success. I don't think so! #KISS,,100120,1,BSPARCCAnwsers,3/22/15,1,1,,@CMZR,#PARCC #KISS,5.80E+17,https://twitter.com/BSPARCCAnwsers/status/579748564894494720,
35,@CommishMDK join us in #optout #fsatesting #stopcommoncore https://www.facebook.com/groups/OptOutBroward/ÔøΩ__ÔøΩ_,@CommishMDK join us in #optout #fsatesting #stopcommoncore https://www.facebook.com/groups/OptOutBroward/ …,80,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,@daedaaae join us in #optout #fsatesting #stopcommoncore https://www.facebook.com/groups/OptOutBroward/ÔøΩ__ÔøΩ_,@daedaaae join us in #optout #fsatesting #stopcommoncore https://www.facebook.com/groups/OptOutBroward/ …,78,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,@danstec but again thank you for being there for #parents #optout #CC,,52,1,lisabruno1,3/31/15,0,0,,@danstec,#parents #optout #CC,5.83E+17,https://twitter.com/lisabruno1/status/583071798285234176,
38,@denverpost Let us teach NOT test! #IStandWithPeg #ISupportPeggyAndOptOut @BadassTeachersA #OptOut @UnitedOptOutpic.twitter.com/l7lrmNWIXc,?,100308,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,@DianeRavitch Save your kids from stress n life long rating. Spare poor kids n their #teachers from shaming. #OptOut: http://dianeravitch.net/2015/03/15/teachers-time-for-civil-disobedience/ÔøΩ__ÔøΩ_,@DianeRavitch Save your kids from stress n life long rating. Spare poor kids n their #teachers from shaming. #OptOut: http://dianeravitch.net/2015/03/15/teachers-time-for-civil-disobedience/ …,100285,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,@ed_struggle I agree! No lit in my son's middle school English class for 2yrs now. #CAStopCC #optout,,67,1,Calimamabear,3/31/15,0,0,,@ed_struggle,#CAStopCC #optout,5.83E+17,https://twitter.com/Calimamabear/status/583061824817369088,
41,@erickalenze @MichaelPetrilli @JonahEdelman Evidence based practices=premised on demonstrably sound evidence (which #PARCC scores are not).,,100087,1,AssessWell,3/23/15,0,0,,@erickalenze @MichaelPetrilli @JonahEdelman,#PARCC,5.80E+17,https://twitter.com/AssessWell/status/580053645435092992,
42,@erickalenze @MichaelPetrilli @JonahEdelman Yes... Sound evidence. Basic psychometric soundness data 4 #PARCC remains conspicuously absent.,,100086,1,AssessWell,3/23/15,0,0,,@erickalenze @MichaelPetrilli @JonahEdelman,#PARCC,5.80E+17,https://twitter.com/AssessWell/status/580054058389544960,
43,@EricStoller u don't by chance live under a bridge? Challenge people with riddles? Eat small children? Fact- #parcc = profit scam.,,100137,1,shugh8,3/21/15,0,3,,@EricStoller,#parcc,5.79E+17,https://twitter.com/shugh8/status/579382217497059328,
44,"@FLGovScott @FLSenate awareness"" for DS?!! but make children with disabilities take State Testing. Developmentally inappropriate. #optout""",,100141,1,Qgirl50,3/17/15,0,0,,@FLGovScott @FLSenate,#optout,5.78E+17,https://twitter.com/Qgirl50/status/577898519987503104,
45,@FollowCSA @UFT Parent Opt Out from NYS ELA & Math test movement growing http://www.silive.com/news/index.ssf/2015/03/nys_test_opt-out_movement_gain.html#incart_river_mobileÔøΩ__ÔøΩ_ @nysut,@FollowCSA @UFT Parent Opt Out from NYS ELA & Math test movement growing http://www.silive.com/news/index.ssf/2015/03/nys_test_opt-out_movement_gain.html#incart_river_mobile … @nysut,58,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,@FRHSDSup @JosephIsola Meaningless work you mean like #PARCC ??,,100165,1,MaxMayhem000,3/17/15,0,0,,@FRHSDSup @JosephIsola,#PARCC,5.78E+17,https://twitter.com/MaxMayhem000/status/577857720428032000,
47,@FtLauderdaleSun join us in #optout #fsatesting #stopcommoncore https://www.facebook.com/groups/OptOutBroward/ÔøΩ__ÔøΩ_,@FtLauderdaleSun join us in #optout #fsatesting #stopcommoncore https://www.facebook.com/groups/OptOutBroward/ …,76,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,@gariidasnail join us in #optout #fsatesting #stopcommoncore https://www.facebook.com/groups/OptOutBroward/ÔøΩ__ÔøΩ_,@gariidasnail join us in #optout #fsatesting #stopcommoncore https://www.facebook.com/groups/OptOutBroward/ …,77,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,@GDeckernews #tischisthemistake @NYSEDNews #education #privatization #PARCC #Pearson MUST STOPpic.twitter.com/wkk7MvnPpg,,100006,1,dabuffFCSDBoE,3/17/15,0,0,,@GDeckernews @NYSEDNews,#tischisthemistake #education #privatization #PARCC #Pearson,5.78E+17,https://twitter.com/dabuffFCSDBoE/status/577884266299834368,
50,@gina_rae09 because we are getting funded for taking it.if more people opt out the test then we wont be getting funded.,,100289,1,Morris_36,3/15/15,0,1,,@gina_rae09,,5.77E+17,https://twitter.com/Morris_36/status/577263766838095872,
51,@GoogleForEdu I'd rather have my school spend $$$ on airconditioning arts and paper pencil tests than the unvalid #PARCC test.,,100114,1,AmyJillDavis,3/22/15,0,0,,@GoogleForEdu,#PARCC,5.80E+17,https://twitter.com/AmyJillDavis/status/579785549168316416,
52,@GoogleforWork #tischisthemistake @NYSEDNews #education #privatization #PARCC #Pearson MUST STOPpic.twitter.com/c88xwoyWvV,,100007,1,dabuffFCSDBoE,3/17/15,0,0,,@GoogleforWork @NYSEDNews,#tischisthemistake #education #privatization #PARCC #Pearson,5.78E+17,https://twitter.com/dabuffFCSDBoE/status/577884177670008832,
53,@HannahArlone I see that as an oxymoron #OptOut #WhyWeRefuse sorry as a parent and T I disagreepic.twitter.com/YpTS46m3eD,tweet no longer available from user,79,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,"@HastingsTeacher @UFT @nysut Seems like an Aw Shucks"" response. A ""We'll get'm next time"" attitude. How bout #optout Join the party!""",,62,1,SuffernEA,3/31/15,0,1,,@HastingsTeacher @UFT @nysut,#optout,5.83E+17,https://twitter.com/SuffernEA/status/583064945614524416,
55,@hechingerreport join us https://www.facebook.com/groups/OptOutBroward/?pnref=storyÔøΩ__ÔøΩ_ #whyirefuse #optout #ccss,@hechingerreport join us https://www.facebook.com/groups/OptOutBroward/?pnref=story … #whyirefuse #optout #ccss,110,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,@HelenRosenthal Thank you! Parents must keep pressure on those selling out our kids to test companies & #HedGEFUNDreformers #optout @NYSAPE,,28,1,noahegotbaum,3/31/15,1,0,,@HelenRosenthal @NYSAPE,#HedGEFUNDreformers #optout,5.83E+17,https://twitter.com/noahegotbaum/status/583098665784500224,
57,@HolmesAndCo @stevenlmass @teachplus @CommonCoreForum conspiracy card when presented fact states dumping #parcc #CC follow $$ #RttT,,39,1,KellyORourke2,3/31/15,0,0,,@HolmesAndCo @stevenlmass @teachplus @CommonCoreForum,#parcc #CC #RttT,5.83E+17,https://twitter.com/KellyORourke2/status/583083410333265920,
58,@HuffPostEdu @FLGOPMajority Yes b/c the curriculum is narrow - only subjects tested are taught! #parcc #pearson #suspendfsa,,100252,1,optoutftl,3/16/15,0,1,,@HuffPostEdu @FLGOPMajority,#parcc #pearson #suspendfsa,5.78E+17,https://twitter.com/optoutftl/status/577626024411680768,
59,@HuffPostEdu Absolutely #PARCC is useless for students and teachers - time money and learning lost. #WhyIRefuse,,100257,1,Mind_Ajar,3/16/15,0,0,,@HuffPostEdu,#PARCC #WhyIRefuse,5.78E+17,https://twitter.com/Mind_Ajar/status/577615225278496768,
60,@HuffPostEdu Absolutely would opt out. Those weeks of testing should be spent LEARNING @NJBatsa @NYStateBATs @BAT_teacher,,100266,1,ingeru,3/16/15,4,0,,@HuffPostEdu @NJBatsa @NYStateBATs @BAT_teacher,,5.78E+17,https://twitter.com/ingeru/status/577599617350520832,
61,@HuffPostEdu Absolutely would opt out. Those weeks of testing should be spent LEARNING. @BadassTeachersA @UTLAnow,,100271,1,ingeru,3/16/15,0,0,,@HuffPostEdu @BadassTeachersA @UTLAnow,,5.78E+17,https://twitter.com/ingeru/status/577596981398233088,
62,@HuffPostEdu Allow? I would encourage opting out. Actually I would refuse because they're minors. My child my choice. #pearsoniswatching,,100261,1,bellaweim,3/16/15,1,0,,@HuffPostEdu,#pearsoniswatching,5.78E+17,https://twitter.com/bellaweim/status/577605680380653568,
63,@HuffPostEdu I did. It's excessive & poorly/prematurely implemented. High stakes is cruel & counter-productive we want no part of it #optout,,100264,1,CSLovely,3/16/15,0,0,,@HuffPostEdu,#optout,5.78E+17,https://twitter.com/CSLovely/status/577602696754106369,
64,@HuffPostEdu Of course I would opt out! An inappropriate test is a terrible method to use in deciding if my child is progressing. #optout,,100273,1,ingeru,3/16/15,0,0,,@HuffPostEdu,#optout,5.78E+17,https://twitter.com/ingeru/status/577595608065662977,
65,@HuffPostEdu refused for my 2....tests don't teach! #PARCC,,100243,1,colschwarz,3/16/15,0,0,,@HuffPostEdu,#PARCC,5.78E+17,https://twitter.com/colschwarz/status/577634053362450432,
66,"@HuffPostEdu Tests waste instructional time are created to privatize education and satisfy debts"" to wealthy political donors. #optout""",,100248,1,AJMGrandma,3/16/15,2,2,,@HuffPostEdu,#optout,5.78E+17,https://twitter.com/AJMGrandma/status/577628418969243649,
67,@HuffPostEdu yes #optout. I've seen the NYS #pearson Common Core tests & they r poorly constructed the scores unreliable poor measurement.,,100240,1,lapham_katie,3/16/15,12,6,,@HuffPostEdu,#optout #pearson,5.78E+17,https://twitter.com/lapham_katie/status/577638752975093761,
68,@HuffPostEdu yes I'd allow my son to opt out because he is more than a test score @OhioBATs @UnitedOptOut,,100254,1,Weedabest,3/16/15,3,2,,@HuffPostEdu @OhioBATs @UnitedOptOut,,5.78E+17,https://twitter.com/Weedabest/status/577619082134056960,
69,@HuffPostEdu Yes refuse the tests that only measure anything your socioeconomic level. #StopCommonCore #optout,,100151,1,MrsTibbetts,3/17/15,0,0,,@HuffPostEdu,#StopCommonCore #optout,5.78E+17,https://twitter.com/MrsTibbetts/status/577880273318117376,
70,@HuffPostEdu Yes to opting out! Why should an 8-year old be subjected to a longer test than an adult's bar exam? @BadassTeachersA @UTLAnow,,100270,1,ingeru,3/16/15,0,0,,@HuffPostEdu @BadassTeachersA @UTLAnow,,5.78E+17,https://twitter.com/ingeru/status/577597534895362048,
71,@HuffPostEdu Yes to opting out! Why should an 8-year old be subjected to a longer test than an adult's bar exam? @NJBatsa @NYStateBATs,,100265,1,ingeru,3/16/15,4,2,,@HuffPostEdu @NJBatsa @NYStateBATs,,5.78E+17,https://twitter.com/ingeru/status/577600132448833536,
72,@HuffPostEdu YES to opting out. I trust my child's teacher far more than a profiteering test publishing company. @BadassTeachersA @UTLAnow,,100272,1,ingeru,3/16/15,0,0,,@HuffPostEdu @BadassTeachersA @UTLAnow,,5.78E+17,https://twitter.com/ingeru/status/577596255972429826,
73,@HuffPostEdu YES to opting out. I trust my child's teacher far more than a profiteering test publishing company. @NJBatsa @NYStateBATs,,100267,1,ingeru,3/16/15,3,1,,@HuffPostEdu @NJBatsa @NYStateBATs,,5.78E+17,https://twitter.com/ingeru/status/577599041862684672,
74,@iamjohnoliver @LastWeekTonight Pearson-profits off our public skools http://m.huffpost.com/us/entry/6877138ÔøΩ__ÔøΩ_ #myherojohnoliver @NoParcc @Quinnrob76 #parcc,@iamjohnoliver @LastWeekTonight Pearson-profits off our public skools http://m.huffpost.com/us/entry/6877138 … #myherojohnoliver @NoParcc @Quinnrob76 #parcc,100232,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,@iamjohnoliver please do a story on the truth about @pearson and #PARCC it is wasting away at our kids and tax dollars #myherojohnoliver,,100103,1,HartsX3,3/22/15,1,1,,@iamjohnoliver @pearson,#PARCC #myherojohnoliver,5.80E+17,https://twitter.com/HartsX3/status/579854635210395648,
76,@IdahoCore #StopCommonCore #OptOut #CommonCore so good even the state that birthed it has a bipartisan push to destroy it. #Washington,,100084,1,eloracnasus,3/23/15,0,1,,@IdahoCore,#StopCommonCore #OptOut #CommonCore #Washington,5.80E+17,https://twitter.com/eloracnasus/status/580054875049988096,
77,@JamesTedisco @PatriciaFahy109 @NYGovCuomo @CarlEHeastie @SenatorSkelos a true waste of paper #voteno #refusethetest,,43,1,kerryqc,3/31/15,0,0,,@JamesTedisco @PatriciaFahy109 @NYGovCuomo @CarlEHeastie @SenatorSkelos,#voteno #refusethetest,5.83E+17,https://twitter.com/kerryqc/status/583078405215817728,
78,@jdandrea @salberti @NJSenatePres @SavOurSchoolsNJ Giving up on #PARCC now tells our children that THEY matter. #refusethetests #noPARCCing,,100281,1,Sunshine1270,3/15/15,2,1,,@jdandrea @salberti @NJSenatePres @SavOurSchoolsNJ,#PARCC #refusethetests #noPARCCing,5.77E+17,https://twitter.com/Sunshine1270/status/577283139460022272,
79,@jsteffenhagen join us https://www.facebook.com/groups/OptOutBroward/?pnref=storyÔøΩ__ÔøΩ_ #whyirefuse #optout #CCSS,@jsteffenhagen join us https://www.facebook.com/groups/OptOutBroward/?pnref=story … #whyirefuse #optout #CCSS,101,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,@keithleger1 @JoshUnderwoodLc @vailjuju spent all evening discussing #parcc and #stopcommoncore w/other parents! AT THE BALL PARK!,,23,1,netty5707,3/31/15,1,0,,@keithleger1 @JoshUnderwoodLc @vailjuju,#parcc #stopcommoncore,5.83E+17,https://twitter.com/netty5707/status/583103876988989440,
81,@keithleger1 @LouisianaStand No data is better than bad data. Who wins in #optout ? Teachers students schools.. #morethanascore #FSA,,100092,1,meanwhilefl,3/23/15,0,0,,@keithleger1 @LouisianaStand,#optout #morethanascore #FSA,5.80E+17,https://twitter.com/meanwhilefl/status/580012990579240960,
82,@KellyORourke2 @teachplus @CommonCoreForum @stevenlmass I'm hearing kids like how #parcc makes them think. Sorry to disappoint,,41,1,HolmesAndCo,3/31/15,0,0,,@KellyORourke2 @teachplus @CommonCoreForum @stevenlmass,#parcc,5.83E+17,https://twitter.com/HolmesAndCo/status/583081398401040384,
83,@KindlingGroup no live links for validity studies: http://www.parcconline.org/2014-field-test-and-related-researchÔøΩ__ÔøΩ_ #PARCC @ISBEnews #theschoolprojectpic.twitter.com/9QpfrXzY58,@KindlingGroup no live links for validity studies: http://www.parcconline.org/2014-field-test-and-related-research … #PARCC @ISBEnews #theschoolprojectpic.twitter.com/9QpfrXzY58,12,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,@LamoureuxRob @KarenMageeNYSUT @sarbetter That is individually. We need 2 make #RefuseTheTest NYSUT statement,,100015,1,Cheryl_Smith1,3/30/15,0,0,,@LamoureuxRob @KarenMageeNYSUT @sarbetter,#RefuseTheTest,5.83E+17,https://twitter.com/Cheryl_Smith1/status/582574699093180416,
85,@LPBroward #broward #optout join us in #optout #fsatesting https://www.facebook.com/groups/OptOutBroward/ÔøΩ__ÔøΩ_,@LPBroward #broward #optout join us in #optout #fsatesting https://www.facebook.com/groups/OptOutBroward/ …,92,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86,@MadisonHHub @MadisonCTPatch @MadisonCT2Day Great news for students! Refuse #SBAC tests! #whyIrefuse #refusethetest http://jonathanpelto.com/2015/03/17/victory-in-ct-parents-can-opt-students-out-of-sbac-tests-students-will-be-provided-alternative-location/ÔøΩ__ÔøΩ_,@MadisonHHub @MadisonCTPatch @MadisonCT2Day Great news for students! Refuse #SBAC tests! #whyIrefuse #refusethetest http://jonathanpelto.com/2015/03/17/victory-in-ct-parents-can-opt-students-out-of-sbac-tests-students-will-be-provided-alternative-location,100160,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87,@marty10707 @KarenMageeNYSUT #tischisthemistake @NYSEDNews #education #privatization #PARCC #Pearson MUST STOPpic.twitter.com/WzVM1oLzzC,,100009,1,dabuffFCSDBoE,3/17/15,0,0,,@marty10707 @KarenMageeNYSUT @NYSEDNews,#tischisthemistake #education #privatization #PARCC #Pearson,5.78E+17,https://twitter.com/dabuffFCSDBoE/status/577884123005612032,
88,@Max_vanDongen join us https://www.facebook.com/groups/OptOutBroward/?pnref=storyÔøΩ__ÔøΩ_ #whyirefuse #optout #CCSS,@Max_vanDongen join us https://www.facebook.com/groups/OptOutBroward/?pnref=story … #whyirefuse #optout #CCSS,105,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
89,@McFiredogg #PARCC exam in IL will be administered TWICE in three months. USELESS DATA Time cannot be recovered! @ISBEnews @capitolbureau,,100032,1,ItsScienceMagic,3/25/15,0,0,,@McFiredogg @ISBEnews @capitolbureau,#PARCC,5.81E+17,https://twitter.com/ItsScienceMagic/status/580694796001398784,
90,@MichaelLombardo @JebBush join us https://www.facebook.com/groups/OptOutBroward/?pnref=storyÔøΩ__ÔøΩ_ #whyirefuse #optout #CCSS,@MichaelLombardo @JebBush join us https://www.facebook.com/groups/OptOutBroward/?pnref=story … #whyirefuse #optout #CCSS,111,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
91,@MicheleMiller52 @TB_Times join us https://www.facebook.com/groups/OptOutBroward/?pnref=storyÔøΩ__ÔøΩ_ #whyirefuse #optout #CCSS,@MicheleMiller52 @TB_Times join us https://www.facebook.com/groups/OptOutBroward/?pnref=story … #whyirefuse #optout #CCSS,109,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,@mma718 @RaymondWWalter quite impressed! Wish I could vote for him! #OptOut,,133,1,CathyHavlicek,3/31/15,2,2,,@mma718 @RaymondWWalter,#OptOut,5.83E+17,https://twitter.com/CathyHavlicek/status/583041299156201472,
