username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink,,
markraffler,5/30/2013,1,0,Common-Core Online Practice Tests Unveiled http://blogs.edweek.org/edweek/DigitalEducation/2013/05/common_core_unveils_practice_t.html?cmp=SOC-SHR-TW … via @educationweek #CCSS #SBAC,,@educationweek,#CCSS #SBAC,3.40E+17,https://twitter.com/markraffler/status/340173192586993664,,
emma_malloy,5/30/2013,0,1,@colinstric she gave me my 5th tardy after I turned in the opt out paper I'm not taking a 130 question test,,@colinstric,,3.40E+17,https://twitter.com/emma_malloy/status/340139909073477632,,
Leslieville_mom,5/30/2013,3,0,#eqao is now done. Thank you to all who supported & accommodated us in our decision to opt out of the standardized test.,,,#eqao,3.40E+17,https://twitter.com/Leslieville_mom/status/340117747025473537,,
NatashaS428,5/30/2013,0,0,@Lannatexasgal Yay! Good job :) we don't have it here... no way of opting out of the test. Seema has 6 exams coming up.,,@Lannatexasgal,,3.40E+17,https://twitter.com/NatashaS428/status/340097276158554112,,
ipprivacylawyer,5/30/2013,0,0,Nearly Two-Thirds of Parents Want Their Kids to Become Lawyers? http://soa.li/kUvTifd . So so sad. #optout,,,#optout,3.40E+17,https://twitter.com/ipprivacylawyer/status/340096568751439872,,
richupton1970,5/30/2013,0,0,. @legsidelizzy thanks for this info. Purely for logistical reasons I'll have to opt for the Test at Chelmsford,,@legsidelizzy,,3.40E+17,https://twitter.com/richupton1970/status/340085751511388161,,
ILPrincipalsGR,5/30/2013,1,1,MT @doctordea: Close reading of paired texts: #CommonCore Lit Standards & #PARCC Blueprints: http://dconrad3.wordpress.com/2013/05/24/pairing-texts-for-analysis-a-common-common-core-strategy/ … #iledchat #edreform,,@doctordea,#CommonCore #PARCC #iledchat #edreform,3.40E+17,https://twitter.com/ILPrincipalsGR/status/340085404072046592,,
ebarton_10,5/30/2013,0,1,Having to go take this test to opt out of an English class in college << #longnight #tooooootired,,,#longnight #tooooootired,3.40E+17,https://twitter.com/ebarton_10/status/340079609779462144,,
amandascout1,5/30/2013,0,0,‘Bout to start a revolution. #optout #highstakestests #Education,,,#optout #highstakestests #Education,3.40E+17,https://twitter.com/amandascout1/status/340068557817782272,,
Mexykul,5/30/2013,0,0,"Wiping ma hair @Dharblue: Smh"" @Mexykul: Nah joo..expo wee kum frm twita...d test ques wee soon leak"" @Dharblue: Think The Best Opt""",,@Dharblue @Mexykul @Dharblue,,3.40E+17,https://twitter.com/Mexykul/status/340012687025123329,,
LorieAHuston,5/30/2013,1,1,Vaccination Opt Out Letters: Recently it has become more common for owners to request that veterina... http://bit.ly/1495tU2  via @petmd,,@petmd,,3.40E+17,https://twitter.com/LorieAHuston/status/339995643210764289,,
BBCRADIOKENT,5/29/2013,4,0,ON BREAKFAST: One of #Kent's top grammar schools - the Judd in #Tonbridge - looks set to opt out of the 11 plus and set its own entry test,,,#Kent #Tonbridge,3.40E+17,https://twitter.com/BBCRADIOKENT/status/339972815031779328,,
S3CURITYBR3ACH,5/29/2013,0,0,@CharismaMolotov @FreedomWorks @SenRandPaul @SenTedCruz My body my choice - I don't want Obama exchanges that's my RIGHT TO CHOOSE #OptOut,,@CharismaMolotov @FreedomWorks @SenRandPaul @SenTedCruz,#OptOut,3.40E+17,https://twitter.com/S3CURITYBR3ACH/status/339940024223141889,,
wormhy,5/29/2013,0,0,i meeean my test grade overall is a 42 because no opt yet buuuut,,,,3.40E+17,https://twitter.com/wormhy/status/339931892868603904,,
nc_chart,5/29/2013,0,0,Do you think that EOG testing has gone too far (we do!). Hear about one local mother's battle to opt out of... http://fb.me/EeOnAgl2,,,,3.40E+17,https://twitter.com/nc_chart/status/339922690368475136,,
dgburris,5/29/2013,0,0,SBAC Pilot Test Released Today - Give it a Test Drive #ccss #ccchat #edchat #commoncore #edtech #SBAC http://sco.lt/8lLr5l,,,#ccss #ccchat #edchat #commoncore #edtech #SBAC,3.40E+17,https://twitter.com/dgburris/status/339910569442291712,,
michaelmgrant,5/29/2013,0,0,Smarter Balanced Releases Practice Common Core Tests http://zite.to/19ndBpD #stem #ccssm #parcc,,,#stem #ccssm #parcc,3.40E+17,https://twitter.com/michaelmgrant/status/339895881883066370,,
mattavl,5/29/2013,0,0,http://sbac.portal.airast.org/Practice_Test/default.html … #sbac newly released practice tests from smarter balance assessment consortium. #wow,,,#sbac #wow,3.40E+17,https://twitter.com/mattavl/status/339889510257147904,,
CarlsonTennis1,5/29/2013,0,0,#optout???,,,#optout,3.40E+17,https://twitter.com/CarlsonTennis1/status/339886933142556672,,
KristinaSky,5/29/2013,0,5,So that hooker just hit me on text too! Couldn't resist ;) #phonesexfail #lol #beatsin #optout #wtfbbq… http://instagram.com/p/Z6bjBHF35Q/,,,#phonesexfail #lol #beatsin #optout #wtfbbq,3.40E+17,https://twitter.com/KristinaSky/status/339877677597085696,,
continuants,5/29/2013,0,1,Hey @tumblr please can I opt out of your a/b UI test? I need my hearts back at the top.,,@tumblr,,3.40E+17,https://twitter.com/continuants/status/339868867570573312,,
12WBT,5/29/2013,0,0,@cartiaL 12WBT diet is well-balanced so u shouldn't be lacking any nutrients. Opt: seek blood test to confirm all OK. Keep up nutrition.,,@cartiaL,,3.40E+17,https://twitter.com/12WBT/status/339854115427479552,,
slekar,5/29/2013,1,0,The Chiefs for Change are truly Masters holding the strings of Propaganda puppets. http://atthechalkface.com/2013/05/29/chiefs-for-change-or-puppets-for-propaganda/ … #optout,,,#optout,3.40E+17,https://twitter.com/slekar/status/339832288101670913,,
dgburris,5/29/2013,0,1," @NCTM: Archived Webinar: #PARCC Mathematics Update presented by @DougSovde http://ow.ly/ltRg8 "" #ccss""",,@NCTM @DougSovde,#PARCC #ccss,3.40E+17,https://twitter.com/dgburris/status/339825799878291460,,
NCTM,5/29/2013,3,2,Archived Webinar: #PARCC Mathematics Update presented by @DougSovde http://ow.ly/ltRg8,,@DougSovde,#PARCC,3.40E+17,https://twitter.com/NCTM/status/339824940444438528,,
frankincredible,5/29/2013,0,0,You sure he’s not gonna opt out and test the market? RT @EyeOnBasketball: Richard Jefferson is opting into $11 million deal for next season.,,@EyeOnBasketball,,3.40E+17,https://twitter.com/frankincredible/status/339819565594841088,,
savvytraveler,5/29/2013,1,0,How opting out of the naked scanners has become an act of civil disobedience. http://opinionator.blogs.nytimes.com/2013/05/25/showdown-at-the-airport-body-scanner/ … #optout #wontfly #TSA,,,#optout #wontfly #TSA,3.40E+17,https://twitter.com/savvytraveler/status/339805141064638464,,
IP4PI,5/29/2013,1,2,What? How much will #ICD10 cost each #doctor #physician? @@CMSGov @HHSGov @MedEconomics #optout #healthinsurance http://medicaleconomics.modernmedicine.com/medical-economics/news/new-coding-tool-designed-help-icd-10-transition …,,@ @CMSGov @HHSGov @MedEconomics,#ICD10 #doctor #physician #optout #healthinsurance,3.40E+17,https://twitter.com/IP4PI/status/339802240791498752,,
TrailerBoutique,5/29/2013,0,0,What are the experts saying about the genetic testing that led Angelina Jolie to opt for a double #mastectomy? --> http://ow.ly/ltKjB,,,#mastectomy,3.40E+17,https://twitter.com/TrailerBoutique/status/339802219463454720,,
SBACIL,5/29/2013,0,0,Learn all of what the #SBAC has to offer at the New Member Orientation on 6/10 #smallbiz http://ow.ly/lmPSv,,,#SBAC #smallbiz,3.40E+17,https://twitter.com/SBACIL/status/339796431047098369,,
Core2Class,5/29/2013,0,1,"#PARCC Glossary of Frequently Used Terms #ccss Our new vocab list""? :) http://sco.lt/7JZw9p""",,,#PARCC #ccss,3.40E+17,https://twitter.com/Core2Class/status/339793289878327296,,
PostSchools,5/29/2013,0,0,Prince William father learns how to opt out of standardized test: http://wapo.st/17dzTM4,,,,3.40E+17,https://twitter.com/PostSchools/status/339785891084111872,,
unangst,5/29/2013,0,0,Does PARCC support the Chromebook? #parcc #chromebook #edchat #edtech,,,#parcc #chromebook #edchat #edtech,3.40E+17,https://twitter.com/unangst/status/339782382125199362,,
unangst,5/29/2013,0,1,Does PARCC support the Chromebook? #parcc #chromebook,,,#parcc #chromebook,3.40E+17,https://twitter.com/unangst/status/339782222448033792,,
dgburris,5/29/2013,4,1,SBAC Pilot Test Released Today - Give it a Test Drive #ccss #ccchat #edchat #commoncore #edtech #SBAC http://sco.lt/8lLr5l,,,#ccss #ccchat #edchat #commoncore #edtech #SBAC,3.40E+17,https://twitter.com/dgburris/status/339782119406575616,,
lausdccss,5/29/2013,2,0,Smarter Balanced posted #CCSS Practice test today: #SBAC Pilot Test http://ow.ly/lvF3G #edchat #assessment,,,#CCSS #SBAC #edchat #assessment,3.40E+17,https://twitter.com/lausdccss/status/339776874744004608,,
dgtHernandez,5/29/2013,1,0,Smarter Balanced posted #CCSS Practice test today: #SBAC Pilot Test http://ow.ly/lvEHc #edchat #assessment,,,#CCSS #SBAC #edchat #assessment,3.40E+17,https://twitter.com/dgtHernandez/status/339776873322119168,,
Dyslexiahead,5/29/2013,0,0,Kids with Dyslexia may opt out of testing http://nblo.gs/LGP1g,,,,3.40E+17,https://twitter.com/Dyslexiahead/status/339764510741114883,,
SanDiegoCOE,5/29/2013,0,0,RT @Ahangarzadeh: #sbac practice tests are now available http://sbac.portal.airast.org/Practice_Test/default.html … #commoncore,,@Ahangarzadeh,#sbac #commoncore,3.40E+17,https://twitter.com/SanDiegoCOE/status/339764262127955968,,
ahangarzadeh,5/29/2013,0,0,#sbac practice tests are now available http://sbac.portal.airast.org/Practice_Test/default.html … #commoncore,,,#sbac #commoncore,3.40E+17,https://twitter.com/ahangarzadeh/status/339760014287835136,,
Dyslexiahead,5/29/2013,0,0,Kids with Dyslexia may opt out of testing: Dyslexia: News from the web: Nothing is easy so the Edwards’ bill i... http://bit.ly/17ssmcs,,,,3.40E+17,https://twitter.com/Dyslexiahead/status/339756855461036033,,
Nimble08,5/29/2013,0,0,Hopefully I past my test next block so I can opt out of that instead.,,,,3.40E+17,https://twitter.com/Nimble08/status/339756356384997376,,
michaelfrontz,5/29/2013,1,0,Explore online Practice Tests for ELA + Math posted by @SmarterBalanced #CCSS #SBAC http://www.smarterbalanced.org/pilot-test/,,@SmarterBalanced,#CCSS #SBAC,3.40E+17,https://twitter.com/michaelfrontz/status/339751149232070657,,
fasanomike,5/29/2013,1,0,Stop Corporate Welfare - say no to Heritage Insurance if you receive take out letter. Heritage Ins in business only 9 months #sayfie #optout,,,#sayfie #optout,3.40E+17,https://twitter.com/fasanomike/status/339749151334072320,,
PrincipalDiff,5/29/2013,0,0,Practice and Pilot Tests | Smarter Balanced Assessment Consortium http://sco.lt/7UZLLl #ccchat #commoncore #ccss #SBAC,,,#ccchat #commoncore #ccss #SBAC,3.40E+17,https://twitter.com/PrincipalDiff/status/339748902494420995,,
DawnMGibson,5/29/2013,0,0,How to #OptOut of #Facebook #SocialAds http://tmblr.co/ZJjUSum6AsnB #SocialMarketing via @fourchickens,,@fourchickens,#OptOut #Facebook #SocialAds #SocialMarketing,3.40E+17,https://twitter.com/DawnMGibson/status/339746515113373698,,
cheryltice,5/29/2013,0,1,helping #hcsd teacher w an online @gsttoolboxpro test & talked abt pointing out to kids strategies they figure out on their own #parcc prep,,@gsttoolboxpro,#hcsd #parcc,3.40E+17,https://twitter.com/cheryltice/status/339736150392586243,,
ConservTeachers,5/29/2013,6,1,Parent opts child out of standardized Pearson field testing. Another parent standing up to corporate testing... http://fb.me/H37JNbnS,,,,3.40E+17,https://twitter.com/ConservTeachers/status/339736047275610112,,
manateespirit,5/29/2013,0,0,Parent opts child out of standardized Pearson field testing. Another parent standing up to corporate testing... http://fb.me/2nrJa3Lmb,,,,3.40E+17,https://twitter.com/manateespirit/status/339734659694989312,,
manateespirit,5/29/2013,0,0,Parent Refuses Permission for Child http://www.missourieducationwatchdog.com/2013/05/parent-refuses-permission-for-child-to.html?spref=tw … Pushing back on Pearson standardized testing. Opt out. #stopcommoncore,,,#stopcommoncore,3.40E+17,https://twitter.com/manateespirit/status/339734061637586944,,
GypsyDesert,5/29/2013,0,0,Angelina Jolie's 'Jewish genetic mutation': Breast cancer gene is common in Israel but few opt 4 mastectomy http://www.haaretz.com/news/features/1.524339 …,,,,3.40E+17,https://twitter.com/GypsyDesert/status/339702512313589760,,
artistwandering,5/29/2013,0,0,"gearing up for #optout at #AUS #austinbergstrom airport. TSA need some sort of electronic communication system. instead they yell optout!""""",,,#optout #AUS #austinbergstrom,3.40E+17,https://twitter.com/artistwandering/status/339695237662380032,,
andrewshaley,5/29/2013,0,0,no more 7:30 work #neverhere #optout,,,#neverhere #optout,3.40E+17,https://twitter.com/andrewshaley/status/339690788017545216,,
HeymanPam,5/29/2013,0,0,http://www.liparentsforeducation.com/lets-do-this-2/ #education #nomoretesting #optout pic.twitter.com/73l4RstYjx,,,#education #nomoretesting #optout,3.40E+17,https://twitter.com/HeymanPam/status/339677027005259776,,
HeymanPam,5/29/2013,0,1,http://seattleducation2010.wordpress.com/2013/05/06/the-opt-out-update-student-walkout-in-denver-new-york-parents-suing-the-state-and-much-much-more/ …. #edchat #optout #nomoretestingpic.twitter.com/y7vaH3vBUz,,,#edchat #optout #nomoretestingpic,3.40E+17,https://twitter.com/HeymanPam/status/339674302662205440,,
ravishchaudhari,5/29/2013,0,0,SO Lets on the debate .............. CELEBRITY LIFE V/S COMMON LIFE All text some points . We'll opt the best viewer .,,,,3.40E+17,https://twitter.com/ravishchaudhari/status/339671286949244928,,
abdulrahmanseo,5/28/2013,0,0,Prince William father learns how to opt out of standardized test - Washington Post | @scoopit http://sco.lt/4xlfTV,,@scoopit,,3.40E+17,https://twitter.com/abdulrahmanseo/status/339614973401657344,,
corduroy,5/28/2013,0,0,Poll: Developers: Do you allow users to opt out of providing anonymous analytics? Reply w/ #optout or #getallthedata http://twt.pl/2CI,,,#optout #getallthedata,3.40E+17,https://twitter.com/corduroy/status/339586873364201472,,
doctordea,5/28/2013,0,1,A close reading of paired texts: #CommonCore Literacy Standards & #PARCC Blueprints: http://dconrad3.wordpress.com/2013/05/24/pairing-texts-for-analysis-a-common-common-core-strategy/ … #edchat #iledchat #engchat,,,#CommonCore #PARCC #edchat #iledchat #engchat,3.40E+17,https://twitter.com/doctordea/status/339585927137607680,,
Lise_in_Oz,5/28/2013,0,0,@Telstra Hi we've noticed your recharge creditBonus CapBonus Data are going to expire in 4 days. #optout,,@Telstra,#optout,3.40E+17,https://twitter.com/Lise_in_Oz/status/339581995095044096,,
TestTroublemake,5/28/2013,0,0,"@PegWithPen @UnitedOptOut @skrashen @susanoha #optout Every time a child takes a high stakes test we are one... http://fb.me/2pCtnwoS7""",,@PegWithPen @UnitedOptOut @skrashen @susanoha,#optout,3.40E+17,https://twitter.com/TestTroublemake/status/339578782283358209,,
AmyMoorefield1,5/28/2013,0,0,Yes please!“ @futureofmuseums: Opting out of standardized testing: one example. Future trend? http://www.washingtonpost.com/local/education/prince-william-father-learns-how-to-opt-out-of-standardized-test/2013/05/26/8af0165c-c310-11e2-8c3b-0b5e9247e8ca_story.html … #futureofeducation”,,@futureofmuseums,#futureofeducation,3.40E+17,https://twitter.com/AmyMoorefield1/status/339558642330243074,,
amag88,5/28/2013,0,0,Home Security 101 - Whether you opt for a high-tech system or take a more common-sense approach our home security... http://ow.ly/2xewDN,,,,3.40E+17,https://twitter.com/amag88/status/339540689220153344,,
IP4PI,5/28/2013,0,0,With some uninsured some at risk. With #mandate #Obamacare #healthinsurance all at risk. #optout #Medicare #Medicaid @IP4PI,,@IP4PI,#mandate #Obamacare #healthinsurance #optout #Medicare #Medicaid,3.40E+17,https://twitter.com/IP4PI/status/339534936790949888,,
IP4PI,5/28/2013,1,0,Why should a #physician #doctor invest 10s thousands in #PCMH so that @NCQA can decide if #healthinsurance can pay their staff? #optout,,@NCQA,#physician #doctor #PCMH #healthinsurance #optout,3.40E+17,https://twitter.com/IP4PI/status/339533672149553152,,
JustinPulitzer,5/28/2013,0,0,“ @opt_trdr: @JustinPulitzer you think it pulls back”<~Not sure but wouldn't surprise me to see it test support. Sept is kind of far. No?,,@opt_trdr @JustinPulitzer,,3.40E+17,https://twitter.com/JustinPulitzer/status/339531234084540418,,
PharmaViews,5/28/2013,0,1,RT @IP4PI Expect a productivity decline as you implement #ICD10. So what's new @CMSGov @HHSGov ! #optout #medic... http://bit.ly/17oWoOa,,@IP4PI @CMSGov @HHSGov,#ICD10 #optout #medic,3.40E+17,https://twitter.com/PharmaViews/status/339531045718343681,,
IP4PI,5/28/2013,1,1,Expect a productivity decline as you implement #ICD10. So what's new @CMSGov @HHSGov ! #optout #medicare & #insurance http://medicaleconomics.modernmedicine.com/medical-economics/news/expect-productivity-decline-you-implement-icd-10 …,,@CMSGov @HHSGov,#ICD10 #optout #medicare #insurance,3.40E+17,https://twitter.com/IP4PI/status/339530712329891840,,
1momzer,5/28/2013,0,0,@MSGunderson I am abillionaire cause I'll let #edreform phonies as well as the well meaning ones hear SEGREGATION a billion times! #OptOut!,,@MSGunderson,#edreform #OptOut,3.40E+17,https://twitter.com/1momzer/status/339529987994554368,,
james_finance,5/28/2013,0,0,Home Security 101: Whether you opt for a high-tech system or take a more common-sense approach our home secur... http://yhoo.it/17oMdcA,,,,3.40E+17,https://twitter.com/james_finance/status/339520428160741376,,
beckham_dd,5/28/2013,0,0,Home Security 101: Whether you opt for a high-tech system or take a more common-sense approach our home secur... http://yhoo.it/17oMdcA,,,,3.40E+17,https://twitter.com/beckham_dd/status/339520421881864192,,
publicash,5/28/2013,0,0,Home Security 101: Whether you opt for a high-tech system or take a more common-sense approach our home secur... http://adf.ly/PhE0u,,,,3.40E+17,https://twitter.com/publicash/status/339520416269885440,,
TCBGP,5/28/2013,2,0,@rweingarten @knightofgood @lee34me The only creative thing Common Core promotes is creative ways for parents to opt out of its testing.,,@rweingarten @knightofgood @lee34me,,3.40E+17,https://twitter.com/TCBGP/status/339515908303245313,,
laurenpolinsky,5/28/2013,0,0,I think the TSA screening is really a conspiracy from the rubber glove companies. #optout #patdownagain #boxesofgloves,,,#optout #patdownagain #boxesofgloves,3.39E+17,https://twitter.com/laurenpolinsky/status/339489926062149633,,
Crest_Opt,5/28/2013,0,0,When you work at a computer for any length of time it's common to experience eye strain blurred vision red eyes and other symptoms of...,,,,3.39E+17,https://twitter.com/Crest_Opt/status/339479124735303680,,
futureofmuseums,5/28/2013,1,0,Opting out of standardized testing: one example. Future trend? http://www.washingtonpost.com/local/education/prince-william-father-learns-how-to-opt-out-of-standardized-test/2013/05/26/8af0165c-c310-11e2-8c3b-0b5e9247e8ca_story.html … #futureofeducation,,,#futureofeducation,3.39E+17,https://twitter.com/futureofmuseums/status/339474617095839745,,
JK_McMahon,5/28/2013,0,0,is considering opting my daughter out of standardized testing starting next year. Anyone have any thoughts?,,,,3.39E+17,https://twitter.com/JK_McMahon/status/339469831059423232,,
kevmfos,5/28/2013,0,0,I let my kids choose. Son opted out daughter opted in. MT @nancyflanagan: If your child doesn't mind testing should you opt out anyway?,,@nancyflanagan,,3.39E+17,https://twitter.com/kevmfos/status/339462157785767936,,
nancyflanagan,5/28/2013,1,0,What if your high-achieving child doesn't mind the test? Should you opt out anyway? http://www.pegwithpen.com/2013/05/one-step-closer.html …,,,,3.39E+17,https://twitter.com/nancyflanagan/status/339452442049662976,,
redco2012,5/28/2013,0,0,If Congress won't kill it we can. #BoycottObamacare #optout #foramerica,,,#BoycottObamacare #optout #foramerica,3.39E+17,https://twitter.com/redco2012/status/339451495957266432,,
MOTU_Kent,5/28/2013,0,0,the sooner we #optout from the PTB's shit show the sooner this world could transform to serve the highest and best good of all involved,,,#optout,3.39E+17,https://twitter.com/MOTU_Kent/status/339447450190376961,,
kristin_clague,5/28/2013,1,0,English 9: Your deadline to tell me you're opting out of my test is FRIDAY by 3:15 p.m. If you don't tell me by then you're taking it!,,,,3.39E+17,https://twitter.com/kristin_clague/status/339427278217940992,,
_phyllisophical,5/28/2013,0,0,Wishing I could opt out of this test today.,,,,3.39E+17,https://twitter.com/_phyllisophical/status/339406714212323330,,
doctordea,5/28/2013,0,1,Leading 2-day #CommonCore\ #PARCC Blueprint workshop in Bloomington June 17 & 18 ROE17 Grades 3-8: #iledchat #ccchat http://ow.ly/lsXA9,,,#CommonCore #PARCC #iledchat #ccchat,3.39E+17,https://twitter.com/doctordea/status/339401122202664960,,
doctordea,5/28/2013,0,0,Leading 2-day 3-8 #commoncore \ #PARCC Blueprint workshop sponsored by ROE17 & ISU's Literacy Center on June 17 & 18: http://ow.ly/lsVUu,,,#commoncore #PARCC,3.39E+17,https://twitter.com/doctordea/status/339398805436891139,,
BrittttAnnE,5/28/2013,0,0,Can I opt out of taking this test in Copeland.,,,,3.39E+17,https://twitter.com/BrittttAnnE/status/339390571875540992,,
marjm,5/28/2013,0,1,PE test for juniors and seniors is Thursday. Please please come and take this on PE. Opt Outs need to take this test. retweet please,,,,3.39E+17,https://twitter.com/marjm/status/339373778536656897,,
mrwheeler,5/28/2013,0,0,"How do we know what we’re testing is real learning?"" - Dale Doughert @dalepd #edchat #parcc #ohedchat #assessment @OHEducation""",,@dalepd @OHEducation,#edchat #parcc #ohedchat #assessment,3.39E+17,https://twitter.com/mrwheeler/status/339356465636728832,,
kerrilynnnxo,5/28/2013,0,0,can I opt out of life today? second test I haven't known about this morning and its only 930! -.- #faaaaack,,,#faaaaack,3.39E+17,https://twitter.com/kerrilynnnxo/status/339351374821220354,,
SBACIL,5/28/2013,0,0,Free trials of Daily Herald Business Ledger and Saberguard Identity Theft Protection as #SBAC Perks! See for yourself http://ow.ly/l6urG,,,#SBAC,3.39E+17,https://twitter.com/SBACIL/status/339343266845708288,,
CClemontine,5/27/2013,0,0,@TeamGinger_ shave your head and balls.. And legs... And everywhere and opt out for a piss test instead..,,@TeamGinger_,,3.39E+17,https://twitter.com/CClemontine/status/339221686106849280,,
Sagesavant,5/27/2013,1,0,"Parents can also effectively opt out"" of programs like Common Core by seeking alternatives to government education http://www.thedailybell.com/29148/Ron-Paul-Common-Core-Nationalizes-and-Dumbs-Down-Public-School-Curriculum …""",,,,3.39E+17,https://twitter.com/Sagesavant/status/339213785812324353,,
TestTroublemake,5/27/2013,0,0,Today we're going to fill in those #bubbletests with #1 #pencils boys and girls! @unitedoptout #optout... http://fb.me/Muod9HcX,,@unitedoptout,#bubbletests #1 #pencils #optout,3.39E+17,https://twitter.com/TestTroublemake/status/339184610644750336,,
ChrisCerrone15,5/27/2013,1,0,Could the #OPTOUT movement cause a mass boycott by handing out #1 pencils? #serious & #sarcastic at the same time. http://mentalfloss.com/article/49849/are-there-number-1-pencils …,,,#OPTOUT #1 #serious #sarcastic,3.39E+17,https://twitter.com/ChrisCerrone15/status/339183255779672065,,
HeymanPam,5/27/2013,3,1,Cost of implementing common core #education #optout #commoncorepic.twitter.com/CwE8AbfmYL,,,#education #optout #commoncorepic,3.39E+17,https://twitter.com/HeymanPam/status/339157468997382144,,
HeymanPam,5/27/2013,2,2,http://atthechalkface.com/2013/03/13/awesome-optout-letter/ … great explanation of the issue of testing @Stoptesting15 @2011teacher #optout #edchat #education,,@Stoptesting15 @2011teacher,#optout #edchat #education,3.39E+17,https://twitter.com/HeymanPam/status/339156691914477568,,
stopsmeters,5/27/2013,0,0,Laval group refuses Hydro Quebec’s new wireless meters http://bit.ly/11lmuID #smartgrid #smartmeters #smartmeter #optout #health #wireless,,,#smartgrid #smartmeters #smartmeter #optout #health #wireless,3.39E+17,https://twitter.com/stopsmeters/status/339102792499204096,,
stopsmeters,5/27/2013,0,0,Michigan customers oppose fees to refuse power meters http://bit.ly/16l2jUc #smartgrid #smartmeters #smartmeter #optout #opposefees,,,#smartgrid #smartmeters #smartmeter #optout #opposefees,3.39E+17,https://twitter.com/stopsmeters/status/339102471144218624,,
TrailerBoutique,5/27/2013,0,0,What are the experts saying about the genetic testing that led Angelina Jolie to opt for a double #mastectomy? --> http://ow.ly/lqRYM,,,#mastectomy,3.39E+17,https://twitter.com/TrailerBoutique/status/339097503146336257,,
SBACIL,5/27/2013,1,1,Reserve your tix for the #SBAC New Member Orientation on 6/10. #smallbiz http://ow.ly/lmPKd,,,#SBAC #smallbiz,3.39E+17,https://twitter.com/SBACIL/status/339071691412094977,,
BB4SP,5/27/2013,3,0,"Parents can also effectively opt out"" of programs like Common Core by seeking alternatives to government... http://fb.me/261VSizhC""",,,,3.39E+17,https://twitter.com/BB4SP/status/339061664387313664,,
